Rk,Gm#,Date,x,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Friday Apr 6,boxscore,SFG,@,ARI,L,4,5,,0-1,4,1.5,Kennedy,Lincecum,Putz,2:53,D,49130,-
2,2,Saturday Apr 7,boxscore,SFG,@,ARI,L,4,5,,0-2,4,2.5,Hudson,Bumgarner,Putz,2:36,D,34789,--
3,3,Sunday Apr 8,boxscore,SFG,@,ARI,L,6,7,,0-3,5,3.0,Miley,Affeldt,Shaw,3:08,D,24193,---
4,4,Monday Apr 9,boxscore,SFG,@,COL,W,7,0,,1-3,3,2.5,Zito,Chacin,,2:52,D,49282,+
5,5,Wednesday Apr 11,boxscore,SFG,@,COL,L,8,17,,1-4,5,3.5,Reynolds,Mota,Chatwood,3:43,N,30337,-
6,6,Thursday Apr 12,boxscore,SFG,@,COL,W,4,2,,2-4,3,3.5,Bumgarner,Moyer,Wilson,3:20,D,25860,+
7,7,Friday Apr 13,boxscore,SFG,,PIT,W,5,0,,3-4,3,3.5,Cain,McDonald,,2:10,D,41138,++
8,8,Saturday Apr 14,boxscore,SFG,,PIT,W-wo,4,3,,4-4,3,3.5,Lopez,Resop,,3:04,N,41657,+++
9,9,Sunday Apr 15,boxscore,SFG,,PIT,L,1,4,,4-5,3,4.5,Correia,Vogelsong,Hanrahan,3:15,D,41766,-
10,10,Monday Apr 16,boxscore,SFG,,PHI,L,2,5,,4-6,3,5.0,Halladay,Lincecum,Papelbon,2:23,N,41136,--
11,11,Tuesday Apr 17,boxscore,SFG,,PHI,W,4,2,,5-6,3,4.0,Bumgarner,Blanton,Casilla,2:51,N,41101,+
12,12,Wednesday Apr 18,boxscore,SFG,,PHI,W-wo,1,0,11,6-6,3,3.0,Hensley,Bastardo,,2:27,N,41860,++
13,13,Friday Apr 20,boxscore,SFG,@,NYM,W,4,3,10,7-6,2,3.5,Romo,Francisco,Hensley,3:41,N,30544,+++
14,14,Saturday Apr 21,boxscore,SFG,@,NYM,L-wo,4,5,,7-7,2,4.5,Rauch,Hensley,,2:55,D,33844,-
15,15,Monday Apr 23 (1),boxscore,SFG,@,NYM,W,6,1,,8-7,2,3.5,Lincecum,Batista,,3:12,D,0,+
16,16,Monday Apr 23 (2),boxscore,SFG,@,NYM,W,7,2,,9-7,2,3.5,Bumgarner,Gee,,2:50,N,23866,++
17,17,Tuesday Apr 24,boxscore,SFG,@,CIN,L,2,9,,9-8,2,3.5,Latos,Cain,,2:53,N,19051,-
18,18,Wednesday Apr 25,boxscore,SFG,@,CIN,L,2,4,,9-9,2,3.5,Arredondo,Hensley,Marshall,3:00,N,17115,--
19,19,Thursday Apr 26,boxscore,SFG,@,CIN,W,6,5,,10-9,2,3.0,Lopez,Marshall,Casilla,2:55,D,17317,+
20,20,Friday Apr 27,boxscore,SFG,,SDP,L,3,5,,10-10,3,4.0,Luebke,Hacker,Street,2:57,N,41908,-
21,21,Saturday Apr 28,boxscore,SFG,,SDP,W,2,1,,11-10,2,4.0,Lincecum,Bass,Casilla,2:18,N,42375,+
22,22,Sunday Apr 29,boxscore,SFG,,SDP,W,4,1,,12-10,2,4.0,Bumgarner,Richard,Casilla,2:21,D,42060,++
23,23,Tuesday May 1,boxscore,SFG,,MIA,L,1,2,,12-11,3,4.5,Nolasco,Cain,Bell,2:30,N,41439,-
24,24,Wednesday May 2,boxscore,SFG,,MIA,L,2,3,10,12-12,3,4.5,Cishek,Casilla,,3:27,N,41575,--
25,25,Thursday May 3,boxscore,SFG,,MIA,L,2,3,,12-13,4,5.0,Sanchez,Vogelsong,Mujica,2:59,D,41159,---
26,26,Friday May 4,boxscore,SFG,,MIL,L,4,6,,12-14,4,5.0,Loe,Hensley,Axford,3:00,N,41082,----
27,27,Saturday May 5,boxscore,SFG,,MIL,W,5,2,,13-14,3,5.0,Bumgarner,Wolf,Casilla,2:51,D,41135,+
28,28,Sunday May 6,boxscore,SFG,,MIL,W-wo,4,3,11,14-14,2,4.0,Lopez,Dillard,,3:36,D,41796,++
29,29,Monday May 7,boxscore,SFG,@,LAD,L,1,9,,14-15,2,5.0,Lilly,Zito,,3:03,N,43713,-
30,30,Tuesday May 8,boxscore,SFG,@,LAD,W,2,1,,15-15,2,4.0,Vogelsong,Kershaw,Casilla,2:34,N,32799,+
31,31,Wednesday May 9,boxscore,SFG,@,LAD,L,2,6,,15-16,2,5.0,Wright,Lincecum,,3:17,N,33993,-
32,32,Friday May 11,boxscore,SFG,@,ARI,L,1,5,,15-17,2,6.0,Corbin,Bumgarner,,2:30,N,35792,--
33,33,Saturday May 12,boxscore,SFG,@,ARI,W,5,2,,16-17,2,6.0,Cain,Cahill,Casilla,3:10,N,31719,+
34,34,Sunday May 13,boxscore,SFG,@,ARI,W,7,3,,17-17,2,6.0,Zito,Saunders,,2:43,D,35430,++
35,35,Monday May 14,boxscore,SFG,,COL,W,3,2,,18-17,2,6.0,Romo,Brothers,Casilla,3:09,N,41254,+++
36,36,Tuesday May 15,boxscore,SFG,,COL,L,4,5,,18-18,2,6.0,Brothers,Casilla,Betancourt,3:33,N,41332,-
37,37,Wednesday May 16,boxscore,SFG,,STL,L,1,4,,18-19,2,6.0,Garcia,Bumgarner,Motte,2:44,N,41324,--
38,38,Thursday May 17,boxscore,SFG,,STL,W,7,5,,19-19,2,6.0,Cain,Wainwright,Casilla,3:01,D,41225,+
39,39,Friday May 18,boxscore,SFG,,OAK,W,8,6,,20-19,2,6.0,Zito,Parker,Casilla,3:17,N,41477,++
40,40,Saturday May 19,boxscore,SFG,,OAK,W,4,0,,21-19,2,6.0,Vogelsong,Ross,,2:49,D,41411,+++
41,41,Sunday May 20,boxscore,SFG,,OAK,L,2,6,,21-20,2,7.0,Colon,Lincecum,,3:11,D,41378,-
